PROVINCIA;CONCELLO;PRAIA;LUGAR E PARROQUIA ;LONXITUDE ;TIPO;TIPO DE AREA
A Corunha;Arteixo;A Salsa ;Repibelo;Corta;Praia resgardada;Cantos rodados
A Corunha;Arteixo;Area Grande ou Valcovo;Valcovo - Arteixo (Santiago);Media;Praia aberta;Fina
A Corunha;Arteixo;Area Grande de Suevos;Suevos;Corta;Praia resgardada;Fina
A Corunha;Arteixo;Area Pequena - A Hucha;Arteixo - Arteixo (Santiago);Corta;Praia aberta;Fina
A Corunha;Arteixo;Areal das Combouzas ;Barranhan - Barranhan (San Xian);Media;Praia aberta;Fina
A Corunha;Arteixo;Areal de Barranhan;Barranhan - Barranhan (San Xian);Larga;Praia aberta;Fina
A Corunha;Arteixo;Areal do Reiro;Arteixo;Corta;Praia aberta;Fina
A Corunha;Arteixo;Sabon;Sabon - Oseiro (San Tirso);Media;Praia aberta;Fina
A Corunha;Bergondo;Gandario;Gandario - Ouces (San Xoan);Media;Praia resgardada;Fina
A Corunha;Camarinhas;Arou;Arou - Camelle (O Espirito Santo);Media;Praia aberta;Fina
A Corunha;Carballo;Baldaio-Sainhas;;Larga;Praia aberta;Fina
A Corunha;Carballo;Pedra do Sal;;Larga;Praia aberta;Fina
A Corunha;Carballo;Razo;Razo da Costa - Razo (San Marti�o);Larga;Praia aberta;Fina
A Corunha;A Corunha;As Lapas;Paseo Maritimo;Corta;Praia resgardada;Grosa
A Corunha;A Corunha;Orzan-Matadero;Orzan;Media;Praia aberta;Grosa
A Corunha;A Corunha;Oza;;Corta;Praia resgardada;Fina
A Corunha;A Corunha;Riazor;Paseo Maritimo;Media;Praia aberta;Grosa
A Corunha;A Corunha;San Amaro;Adormideras;Media;Praia resgardada;Fina
A Corunha;Dumbria;Ezaro;O Ezaro - O Ezaro (Santa Uxia);Media;Praia aberta;Fina
A Corunha;Ferrol;Caranza;Avenida del Mar ;Media;Praia resgardada;Grosa
A Corunha;Ferrol;A Fragata;Covas (San Martinho);Corta;Praia aberta;Fina
A Corunha;Ferrol;Doninhos;Doninhos - Doninhos (San Roman);Larga;Praia aberta;Fina
A Corunha;Ferrol;Esmelle;Esmelle - Esmelle (San Xoan);Corta;Praia aberta;Fina
A Corunha;Ferrol;San Xurxo;Vila da Area - San Xurxo da Marinha (San Xurxo);Larga;Praia aberta;Fina
A Corunha;A Laracha;Caion-Salseiras;Caion - Caion (Santa Maria do Socorro);Media;Praia resgardada;Fina
A Corunha;Laxe;Laxe;Laxe (Santa Maria);Larga;Praia resgardada;Fina
A Corunha;Minho;Perbes;Minho;Media;Praia resgardada;Fina
A Corunha;Oleiros;Bastiagueiro;Perillo - Perillo (Santa Locaia);Media;Praia aberta;Fina
A Corunha;Oleiros;Espinheiro;;Media;Praia resgardada;Fina
A Corunha;Oleiros;Mera;A Lagoa - Maianca (San Cosme);Corta;Praia resgardada;Fina
A Corunha;Oleiros;Porto Naval;A Aguieira - Dorneda (San Martinho);Corta;Praia resgardada;Cantos rodados
A Corunha;Oleiros;Santa Cristina;Perillo - Perillo (Santa Locaia);Larga;Praia aberta;Fina
A Corunha;Ponteceso;Balares;Balares - Cospindo (San Tirso);Media;Praia resgardada;Fina
A Corunha;Ponteceso;Ermida;Gondomil - Corme Aldea (Santo Adran);Corta;Praia resgardada;Fina
A Corunha;Ponteceso;Osmo;O Porto de Corme - Corme Porto (Nosa Senhora dos Remedios);Corta;Praia resgardada;Fina
A Corunha;As Pontes;Lago das Pontes;Vilavella (Santa Maria);Media;Praia resgardada;Grosa
A Corunha;Ribeira;Coroso;Santa Uxia de Ribeira;Media;Praia resgardada;Fina
Lugo;Barreiros;A Pasada;San Miguel de Reinante;Media;Praia aberta;Fina
Lugo;Barreiros;Coto;San Cosme - San Cosme de Barreiros;Media;Praia aberta;Fina
Lugo;Barreiros;Fontela-Balea;;Media;Praia aberta;Fina
Lugo;Burela;A Marosa;Burela (Santa Maria);Media;Praia aberta;Fina
Lugo;Burela;O Portelo;Burela (Santa Maria);Media;Praia resgardada;Fina
Lugo;Burela;Ril;Burela (Santa Maria);Corta;Praia aberta;Fina 
Lugo;Cervo;O Torno;San Cibrao - Lieiro (Santa Maria);Media;Praia resgardada;Fina
Lugo;Foz;A Rapadoira;Foz - Foz (Santiago);Media;Praia resgardada;Fina
Lugo;Foz;Areoura;;Corta;Praia resgardada;Fina
Lugo;Foz;As Polas;;Media;Praia aberta;Fina
Lugo;Foz;Llas;;Media;Praia aberta;Fina
Lugo;Foz;Peizas;;Media;Praia aberta;Fina
Lugo;Ribadeo;A Praia das Catedrais;;Media;Praia aberta;Fina
Lugo;Ribadeo;Os Castros-Illas;A Rochela - A Devesa (Santalla);Media;Praia aberta;Fina
Lugo;O Vicedo;Abrela;Abrela - Suegos (Santa Maria);Media;Praia resgardada;Fina
Lugo;O Vicedo;Xilloi;Xilloi - O Vicedo (Santo Estevo);Media;Praia resgardada;Fina
Lugo;Viveiro;Area;Area - Faro (San Xiao);Larga;Praia resgardada;Fina
Lugo;Xove;Esteiro;Ceranzos - Xuances (San Pedro);Media;Praia aberta;Fina
Pontevedra;Baiona;A Ribeira;Baiona (Santa Maria);Corta;Praia resgardada;Fina
Pontevedra;Baiona;Barbeira;Baiona (Santa Maria);Media;Praia resgardada;Fina
Pontevedra;Baiona;Cuncheira;Paseo de Pinzon - Baiona (Santa Maria);Corta;Praia aberta;Grosa
Pontevedra;Baiona;Os Frades ;Baiona (Santa Maria);Corta;Praia aberta;Grosa
Pontevedra;Baiona;Santa Marta;;Media;Praia resgardada;Fina
Pontevedra;Bueu;Area de Bon;Bon de Arriba - Beluso (Santa Maria);Media;Praia aberta;Fina
Pontevedra;Bueu;Banda de Rio;Bueu (San Martinho);Media;Praia resgardada;Grosa
Pontevedra;Bueu;Lagos;Montemogos - Beluso (Santa Maria);Media;Praia resgardada;Fina
Pontevedra;Bueu;Lapaman;;Media;Praia aberta;Fina
Pontevedra;Bueu;Portomaior;Castrelo - Cela (Santa Maria);Media;Praia aberta;Fina
Pontevedra;Cangas ;Area Brava;Vilanova - O Hio (Santo Andre);Media;Praia resgardada;Fina
Pontevedra;Cangas ;Area Milla;Balea - Darbo (Santa Maria);Corta;Praia resgardada;Fina
Pontevedra;Cangas ;Limens;Limens  - O Hio (Santo Andre);Media;Praia resgardada;Fina
Pontevedra;Cangas ;Menduinha;Menduinha - Aldan (San Cibran);Media;Praia resgardada;Fina
Pontevedra;Cangas ;Nerga (Espazo Natural Cabo Home);Nerga - O Hio (Santo Andre);Media;Praia resgardada;Fina
Pontevedra;Cangas ;Rodeira;Coiro (San Salvador);Media;Praia resgardada;Fina
Pontevedra;A Guarda;Area Grande;A Guarda - A Guarda (Santa Maria);Media;Praia resgardada;Fina
Pontevedra;A Guarda;O Muinho;O Muinho - Camposancos (Santa Isabel);Larga;Praia aberta;Fina
Pontevedra;Illa de Arousa;Area de Secada; ;Media;Praia resgardada;Fina
Pontevedra;Illa de Arousa;Camaxe; ;Corta;Praia resgardada;Grosa
Pontevedra;Marin;Aguete;Aguete - Seixo (Nosa Senhora do Carme);Media;Praia resgardada;Fina
Pontevedra;Marin;Mogor;O Monte - Mogor (San Xurxo);Media;Praia resgardada;Fina
Pontevedra;Marin;Portocelo;O Monte - Mogor (San Xurxo);Media;Praia resgardada;Fina
Pontevedra;Marin;Santo do Mar-A Covinha;Casas - Ardan (Santa Maria);Media;Praia resgardada;Fina
Pontevedra;Moanha;O Con;O Con - Tiran (San Xoan);Corta;Praia aberta;Fina
Pontevedra;Poio;Cabeceira;Campelo - Poio (San Xoan);Corta;Praia resgardada;Fina
Pontevedra;Sanxenxo;A Lanzada;O Grove - Sanxenxo;Larga;Praia aberta;Fina
Pontevedra;Sanxenxo;A Lapa;A Lanzada - Noalla (Santo Estevo);Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Areas;Areas - Bordons (San Pedro);Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Areas Gordas  ; ;Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Baltar;Baltar - Adina (Santa Maria);Media;Praia resgardada;Fina
Pontevedra;Sanxenxo;Bascuas;Aios - Noalla (Santo Estevo);Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Canelas;Canelas - Adina (Santa Maria);Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Canelinhas;Portonovo - Adina (Santa Maria);Corta;Praia resgardada;Fina
Pontevedra;Sanxenxo;De Agra;Areas - Dorron (San Xoan);Media;Praia resgardada;Fina
Pontevedra;Sanxenxo;Espinheira;A Lanzada - Noalla (Santo Estevo);Corta;Praia aberta;Fina
Pontevedra;Sanxenxo;Foxos;A Lanzada - Noalla (Santo Estevo);Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Major;;Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Montalvo;;Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Panadeira;Sanxenxo - Padrinhan (San Xenxo);Corta;Praia resgardada;Fina
Pontevedra;Sanxenxo;Paxarinhas;Paxarinhas - Adina (Santa Maria);Corta;Praia resgardada;Fina
Pontevedra;Sanxenxo;Pragueira; ;Media;Praia aberta;Fina
Pontevedra;Sanxenxo;Silgar;Sanxenxo - Padrinhan (San Xenxo);Media;Praia aberta;Fina
Pontevedra;Vigo;A Punta;;Corta;Praia resgardada;Fina
Pontevedra;Vigo;Argazada;;Media;Praia resgardada;Fina
Pontevedra;Vigo;Canido;Canido - Oia (San Miguel);Media;Praia resgardada;Fina
Pontevedra;Vigo;Carril ;A Igrexa - Alcabre (Santa Baia);Media;Praia resgardada;Fina
Pontevedra;Vigo;Fontainha (A Sirenita);Breadouro - Coruxo (San Salvador);Media;Praia resgardada;Fina
Pontevedra;Vigo;O Vao;Fontela - Coruxo (San Salvador);Media;Praia resgardada;Fina
Pontevedra;Vigo;Os Muinhos - Fortinhon;A Corveira - Saians (San Xurxo);Corta;Praia resgardada;Fina
Pontevedra;Vigo;Rodas (Illas Cies);Illas Cies;Larga;Praia aberta;Fina
Pontevedra;Vigo;Samil;Samil - Navia (San Paio);Larga;Praia resgardada;Fina
Pontevedra;Vigo;Santa Baia;;Media;Praia resgardada;Fina
Pontevedra;Vigo;Tombo do Gato;;Corta;Praia resgardada;Fina
Pontevedra;Vigo;O Adro;Vigo;Media;Praia resgardada;Fina
Pontevedra;Vilagarcia de Arousa;Bamio;O Campanario - Bamio (San Xens);Corta;Praia resgardada;Fina
Pontevedra;Vilagarcia de Arousa;Compostela;Vilagarcia (Santa Baia);Larga;Praia resgardada;Fina
